,Unnamed: 0,title,vote_average,genres
0,0,Toy Story,7.7,Animation
1,1,Jumanji,6.9,Adventure
2,2,Grumpier Old Men,6.5,Romance
3,3,Waiting to Exhale,6.1,Comedy
4,4,Father of the Bride Part II,5.7,Comedy
5,5,Heat,7.7,Action
6,6,Sabrina,6.2,Comedy
7,7,Tom and Huck,5.4,Action
8,8,Sudden Death,5.5,Action
9,9,GoldenEye,6.6,Adventure
10,10,The American President,6.5,Comedy
11,11,Dracula: Dead and Loving It,5.7,Comedy
12,12,Balto,7.1,Family
13,13,Nixon,7.1,History
14,14,Cutthroat Island,5.7,Action
15,15,Casino,7.8,Drama
16,16,Sense and Sensibility,7.2,Drama
17,17,Four Rooms,6.5,Crime
18,18,Ace Ventura: When Nature Calls,6.1,Crime
19,19,Money Train,5.4,Action
20,20,Get Shorty,6.4,Comedy
21,21,Copycat,6.5,Drama
22,22,Assassins,6.0,Action
23,23,Powder,6.3,Drama
24,24,Leaving Las Vegas,7.1,Drama
25,25,Othello,7.0,Drama
26,26,Now and Then,6.6,Comedy
27,27,Persuasion,7.4,Drama
28,28,The City of Lost Children,7.6,Fantasy
29,29,Shanghai Triad,6.5,Drama
30,30,Dangerous Minds,6.4,Drama
31,31,Twelve Monkeys,7.4,Science Fiction
32,32,Wings of Courage,6.8,Romance
33,33,Babe,6.0,Fantasy
34,34,Carrington,6.4,History
35,35,Dead Man Walking,7.3,Drama
36,36,Across the Sea of Time,3.5,Adventure
37,37,It Takes Two,6.1,Comedy
38,38,Clueless,6.9,Comedy
39,39,"Cry, the Beloved Country",6.7,Drama
40,40,Richard III,6.9,Drama
41,41,Dead Presidents,6.6,Action
42,42,Restoration,6.3,Drama
43,43,Mortal Kombat,5.4,Action
44,44,To Die For,6.7,Fantasy
45,45,How To Make An American Quilt,6.5,Drama
46,46,Se7en,8.1,Crime
47,47,Pocahontas,6.7,Adventure
48,48,When Night Is Falling,5.9,Drama
49,49,The Usual Suspects,8.1,Drama
50,50,Guardian Angel,6.3,Action
51,51,Mighty Aphrodite,6.7,Comedy
52,52,Lamerica,7.7,Drama
53,53,The Big Green,5.2,Action
54,54,Georgia,6.1,Drama
55,55,Kids of the Round Table,3.0,Sin Dato
56,56,Home for the Holidays,6.3,Comedy
57,57,The Postman,7.6,Comedy
58,58,The Confessional,6.5,Thriller
59,59,The Indian in the Cupboard,5.9,Adventure
60,60,Eye for an Eye,5.8,Drama
61,61,Mr. Holland's Opus,6.9,Music
62,62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,Comedy
63,63,Two If by Sea,4.5,Comedy
64,64,Bio-Dome,4.4,Comedy
65,65,Lawnmower Man 2: Beyond Cyberspace,2.8,Action
66,66,Two Bits,5.4,Drama
67,67,French Twist,6.0,Comedy
68,68,Friday,7.0,Comedy
69,69,From Dusk Till Dawn,6.9,Horror
70,70,Fair Game,4.1,Action
71,71,Kicking and Screaming,7.0,Comedy
72,72,Les Miserables,6.6,Drama
73,73,Bed of Roses,5.1,Drama
74,74,Big Bully,3.9,Comedy
75,75,Screamers,6.1,Horror
76,76,Nico Icon,7.3,Documentary
77,77,The Crossing Guard,6.1,Drama
78,78,The Juror,5.5,Drama
79,79,The White Balloon,7.5,Family
80,80,Things to Do in Denver When You're Dead,6.7,Drama
81,81,Antonia's Line,7.2,Drama
82,82,Once Upon a Time... When We Were Colored,4.5,Romance
83,83,Last Summer in the Hamptons,0.0,Sin Dato
84,84,Angels and Insects,6.3,Drama
85,85,White Squall,6.3,Action
86,86,Dunston Checks In,5.1,Adventure
87,87,Black Sheep,6.0,Comedy
88,88,Nick of Time,6.1,Crime
89,89,The Journey of August King,6.7,Drama
90,90,Mary Reilly,5.7,Drama
91,91,Vampire in Brooklyn,4.5,Comedy
92,92,Beautiful Girls,6.6,Comedy
93,93,Broken Arrow,5.7,Action
94,94,A Midwinter's Tale,7.5,Comedy
95,95,La Haine,7.9,Drama
96,96,Shopping,5.6,Action
97,97,Heidi Fleiss: Hollywood Madam,6.8,Documentary
98,98,City Hall,6.0,Drama
99,99,Bottle Rocket,6.8,Comedy
100,100,Mr. Wrong,3.3,Comedy
101,101,Unforgettable,5.3,Drama
102,102,Happy Gilmore,6.5,Comedy
103,103,The Bridges of Madison County,7.3,Drama
104,104,Nobody Loves Me,5.1,Drama
105,105,Muppet Treasure Island,6.5,Action
106,106,Catwalk,7.0,Documentary
107,107,Headless Body in Topless Bar,0.0,Crime
108,108,Braveheart,7.7,Action
109,109,Taxi Driver,8.1,Crime
110,110,Rumble in the Bronx,6.5,Crime
111,111,Before and After,5.8,Drama
112,112,Margaret's Museum,7.5,Drama
113,113,Happiness Is in the Field,7.0,Comedy
114,114,Anne Frank Remembered,7.3,Documentary
115,115,The Young Poisoner's Handbook,6.9,Comedy
116,116,If Lucy Fell,5.4,Comedy
117,117,Steal Big Steal Little,5.1,Comedy
118,118,Race the Sun,5.2,Action
119,119,The Boys of St. Vincent,7.0,Drama
120,120,Boomerang,5.4,Comedy
121,121,Chungking Express,7.9,Drama
122,122,The Star Maker,6.8,Drama
123,123,Flirting with Disaster,6.3,Comedy
124,124,The Neverending Story III: Escape from Fantasia,4.4,Fantasy
125,125,The Silences of the Palace,4.3,Drama
126,126,Jupiter's Wife,0.0,Sin Dato
127,127,Pie in the Sky,7.0,Comedy
128,128,Angela,5.6,Comedy
129,129,Frankie Starlight,5.4,Drama
130,130,Jade,5.1,Action
131,131,Nueba Yol,5.5,Comedy
132,132,Sonic Outlaws,0.0,Music
133,133,Down Periscope,5.6,Comedy
134,134,From the Journals of Jean Seberg,6.5,Documentary
135,135,Man of the Year,3.8,Comedy
136,136,The Neon Bible,7.2,Drama
137,137,Target,0.0,Sin Dato
138,138,Up Close & Personal,5.9,Drama
139,139,The Birdcage,6.7,Comedy
140,140,Virgin Mary,7.0,Drama
141,141,The Brothers McMullen,6.3,Comedy
142,142,Bad Boys,6.5,Action
143,143,The Amazing Panda Adventure,5.0,Action
144,144,The Basketball Diaries,7.2,Drama
145,145,An Awfully Big Adventure,6.0,Romance
146,146,Amateur,6.5,Crime
147,147,Apollo 13,7.3,Drama
148,148,Rob Roy,6.5,Adventure
149,149,The Addiction,6.4,Drama
150,150,Batman Forever,5.2,Action
151,151,Belle de Jour,7.3,Drama
152,152,Beyond Rangoon,6.4,Drama
153,153,Blue in the Face,6.8,Comedy
154,154,Canadian Bacon,5.9,Action
155,155,Casper,6.0,Fantasy
156,156,Clockers,6.8,Mystery
157,157,Congo,5.0,Action
158,158,Crimson Tide,7.0,Action
159,159,Crumb,7.6,Documentary
160,160,Desperado,6.8,Thriller
161,161,Devil in a Blue Dress,6.3,Drama
162,162,Die Hard: With a Vengeance,6.9,Action
163,163,The Doom Generation,5.6,Action
164,164,Feast of July,0.0,Drama
165,165,First Knight,5.9,Action
166,166,Free Willy 2 - The Adventure Home,5.5,Adventure
167,167,Hackers,6.2,Action
168,168,Jeffrey,6.5,Comedy
169,169,Johnny Mnemonic,5.5,Adventure
170,170,Judge Dredd,5.4,Science Fiction
171,171,Jury Duty,4.0,Comedy
172,172,Kids,6.8,Drama
173,173,Living in Oblivion,7.2,Drama
174,174,Lord of Illusions,5.9,Mystery
175,175,Love & Human Remains,7.0,Comedy
176,176,Mad Love,5.5,Drama
177,177,Mallrats,6.8,Romance
178,178,Mighty Morphin Power Rangers: The Movie,5.2,Action
179,179,Moonlight and Valentino,5.6,Comedy
180,180,Mute Witness,6.4,Thriller
181,181,Nadja,5.9,Horror
182,182,The Net,5.6,Crime
183,183,Nine Months,5.5,Comedy
184,184,Party Girl,5.8,Comedy
185,185,The Prophecy,6.4,Fantasy
186,186,Reckless,10.0,Fantasy
187,187,Safe,7.2,Drama
188,188,The Scarlet Letter,5.5,Drama
189,189,The Show,5.3,Documentary
190,190,Showgirls,4.9,Drama
191,191,Smoke,7.2,Comedy
192,192,Something to Talk About,5.7,Comedy
193,193,Species,5.5,Science Fiction
194,194,The Stars Fell on Henrietta,6.6,Drama
195,195,Strange Days,6.8,Crime
196,196,The Umbrellas of Cherbourg,7.6,Drama
197,197,The Tie That Binds,4.6,Thriller
198,198,Three Wishes,6.1,Drama
199,199,Total Eclipse,6.5,Drama
200,200,"To Wong Foo, Thanks for Everything! Julie Newmar",6.3,Comedy
201,201,Under Siege 2: Dark Territory,5.6,Action
202,202,Unstrung Heroes,6.4,Comedy
203,203,Unzipped,6.0,Documentary
204,204,A Walk in the Clouds,6.5,Drama
205,205,Waterworld,5.9,Adventure
206,206,White Man's Burden,5.1,Drama
207,207,Wild Bill,5.9,Action
208,208,The Browning Version,6.0,Drama
209,209,Bushwhacked,4.9,Adventure
210,210,Burnt by the Sun,6.7,Drama
211,211,Before the Rain,7.7,Drama
212,212,Before Sunrise,7.7,Drama
213,213,Billy Madison,6.2,Comedy
214,214,The Babysitter,4.7,Drama
215,215,Boys on the Side,6.3,Comedy
216,216,The Cure,7.2,Drama
217,217,Castle Freak,5.8,Thriller
218,218,Circle of Friends,6.5,Drama
219,219,Clerks,7.4,Comedy
220,220,Don Juan DeMarco,6.3,Romance
221,221,Disclosure,5.9,Drama
222,222,Dream Man,2.5,Thriller
223,223,Drop Zone,5.1,Action
224,224,Destiny Turns on the Radio,5.3,Crime
225,225,Death and the Maiden,7.1,Drama
226,226,Dolores Claiborne,7.1,Crime
227,227,Dumb and Dumber,6.5,Comedy
228,228,Eat Drink Man Woman,7.5,Comedy
229,229,Exotica,6.5,Drama
230,230,Exit to Eden,4.3,Thriller
231,231,Ed Wood,7.3,Comedy
232,232,French Kiss,6.2,Comedy
233,233,Forget Paris,6.1,Comedy
234,234,Far from Home: The Adventures of Yellow Dog,5.6,Action
235,235,A Goofy Movie,6.7,Romance
236,236,Hideaway,5.0,Drama
237,237,Fluke,6.6,Drama
238,238,Farinelli,5.9,History
239,239,Gordy,3.0,Drama
240,240,Gumby: The Movie,5.0,Fantasy
241,241,The Glass Shield,5.4,Drama
242,242,Hoop Dreams,7.7,Documentary
243,243,Heavenly Creatures,6.9,Drama
244,244,Houseguest,6.0,Comedy
245,245,Immortal Beloved,6.9,Drama
246,246,Heavyweights,6.0,Comedy
247,247,The Hunted,6.0,Action
248,248,I.Q.,5.9,Comedy
249,249,Interview with the Vampire,7.2,Horror
250,250,Jefferson in Paris,5.2,Drama
251,251,The Jerky Boys,4.8,Comedy
252,252,Junior,4.7,Comedy
253,253,Just Cause,6.0,Action
254,254,A Kid in King Arthur's Court,4.3,Adventure
255,255,Kiss of Death,5.7,Action
256,256,Star Wars,8.1,Adventure
257,257,Little Women,7.0,Drama
258,258,A Little Princess,7.4,Drama
259,259,Ladybird Ladybird,7.4,Drama
260,260,L'Enfer,6.6,Crime
261,261,Like Water for Chocolate,6.6,Drama
262,262,Legends of the Fall,7.2,Adventure
263,263,Major Payne,6.1,Adventure
264,264,Little Odessa,6.4,Action
265,265,Mi Vida Loca,5.7,Crime
266,266,Love Affair,4.3,Drama
267,267,Losing Isaiah,6.4,Drama
268,268,The Madness of King George,6.7,Comedy
269,269,Mary Shelley's Frankenstein,6.1,Drama
270,270,Man of the House,5.1,Action
271,271,Mixed Nuts,5.2,Comedy
272,272,Milk Money,5.6,Comedy
