,title,vote_average,genres
0,Toy Story,7.7,Animation
1,Jumanji,6.9,Adventure
2,Grumpier Old Men,6.5,Romance
3,Waiting to Exhale,6.1,Comedy
4,Father of the Bride Part II,5.7,Comedy
5,Heat,7.7,Action
6,Sabrina,6.2,Comedy
7,Tom and Huck,5.4,Action
8,Sudden Death,5.5,Action
9,GoldenEye,6.6,Adventure
10,The American President,6.5,Comedy
11,Dracula: Dead and Loving It,5.7,Comedy
12,Balto,7.1,Family
13,Nixon,7.1,History
14,Cutthroat Island,5.7,Action
15,Casino,7.8,Drama
16,Sense and Sensibility,7.2,Drama
17,Four Rooms,6.5,Crime
18,Ace Ventura: When Nature Calls,6.1,Crime
19,Money Train,5.4,Action
20,Get Shorty,6.4,Comedy
21,Copycat,6.5,Drama
22,Assassins,6.0,Action
23,Powder,6.3,Drama
24,Leaving Las Vegas,7.1,Drama
25,Othello,7.0,Drama
26,Now and Then,6.6,Comedy
27,Persuasion,7.4,Drama
28,The City of Lost Children,7.6,Fantasy
29,Shanghai Triad,6.5,Drama
30,Dangerous Minds,6.4,Drama
31,Twelve Monkeys,7.4,Science Fiction
32,Wings of Courage,6.8,Romance
33,Babe,6.0,Fantasy
34,Carrington,6.4,History
35,Dead Man Walking,7.3,Drama
36,Across the Sea of Time,3.5,Adventure
37,It Takes Two,6.1,Comedy
38,Clueless,6.9,Comedy
39,"Cry, the Beloved Country",6.7,Drama
40,Richard III,6.9,Drama
41,Dead Presidents,6.6,Action
42,Restoration,6.3,Drama
43,Mortal Kombat,5.4,Action
44,To Die For,6.7,Fantasy
45,How To Make An American Quilt,6.5,Drama
46,Se7en,8.1,Crime
47,Pocahontas,6.7,Adventure
48,When Night Is Falling,5.9,Drama
49,The Usual Suspects,8.1,Drama
50,Guardian Angel,6.3,Action
51,Mighty Aphrodite,6.7,Comedy
52,Lamerica,7.7,Drama
53,The Big Green,5.2,Action
54,Georgia,6.1,Drama
55,Kids of the Round Table,3.0,Sin Dato
56,Home for the Holidays,6.3,Comedy
57,The Postman,7.6,Comedy
58,The Confessional,6.5,Thriller
59,The Indian in the Cupboard,5.9,Adventure
60,Eye for an Eye,5.8,Drama
61,Mr. Holland's Opus,6.9,Music
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,Comedy
63,Two If by Sea,4.5,Comedy
64,Bio-Dome,4.4,Comedy
65,Lawnmower Man 2: Beyond Cyberspace,2.8,Action
66,Two Bits,5.4,Drama
67,French Twist,6.0,Comedy
68,Friday,7.0,Comedy
69,From Dusk Till Dawn,6.9,Horror
70,Fair Game,4.1,Action
71,Kicking and Screaming,7.0,Comedy
72,Les Miserables,6.6,Drama
73,Bed of Roses,5.1,Drama
74,Big Bully,3.9,Comedy
75,Screamers,6.1,Horror
76,Nico Icon,7.3,Documentary
77,The Crossing Guard,6.1,Drama
78,The Juror,5.5,Drama
79,The White Balloon,7.5,Family
80,Things to Do in Denver When You're Dead,6.7,Drama
81,Antonia's Line,7.2,Drama
82,Once Upon a Time... When We Were Colored,4.5,Romance
83,Last Summer in the Hamptons,0.0,Sin Dato
84,Angels and Insects,6.3,Drama
85,White Squall,6.3,Action
86,Dunston Checks In,5.1,Adventure
87,Black Sheep,6.0,Comedy
88,Nick of Time,6.1,Crime
89,The Journey of August King,6.7,Drama
90,Mary Reilly,5.7,Drama
91,Vampire in Brooklyn,4.5,Comedy
92,Beautiful Girls,6.6,Comedy
93,Broken Arrow,5.7,Action
94,A Midwinter's Tale,7.5,Comedy
95,La Haine,7.9,Drama
96,Shopping,5.6,Action
97,Heidi Fleiss: Hollywood Madam,6.8,Documentary
98,City Hall,6.0,Drama
99,Bottle Rocket,6.8,Comedy
100,Mr. Wrong,3.3,Comedy
101,Unforgettable,5.3,Drama
102,Happy Gilmore,6.5,Comedy
103,The Bridges of Madison County,7.3,Drama
104,Nobody Loves Me,5.1,Drama
105,Muppet Treasure Island,6.5,Action
106,Catwalk,7.0,Documentary
107,Headless Body in Topless Bar,0.0,Crime
108,Braveheart,7.7,Action
109,Taxi Driver,8.1,Crime
110,Rumble in the Bronx,6.5,Crime
111,Before and After,5.8,Drama
112,Margaret's Museum,7.5,Drama
113,Happiness Is in the Field,7.0,Comedy
114,Anne Frank Remembered,7.3,Documentary
115,The Young Poisoner's Handbook,6.9,Comedy
116,If Lucy Fell,5.4,Comedy
117,Steal Big Steal Little,5.1,Comedy
118,Race the Sun,5.2,Action
119,The Boys of St. Vincent,7.0,Drama
120,Boomerang,5.4,Comedy
121,Chungking Express,7.9,Drama
122,The Star Maker,6.8,Drama
123,Flirting with Disaster,6.3,Comedy
124,The Neverending Story III: Escape from Fantasia,4.4,Fantasy
125,The Silences of the Palace,4.3,Drama
126,Jupiter's Wife,0.0,Sin Dato
127,Pie in the Sky,7.0,Comedy
128,Angela,5.6,Comedy
129,Frankie Starlight,5.4,Drama
130,Jade,5.1,Action
131,Nueba Yol,5.5,Comedy
132,Sonic Outlaws,0.0,Music
133,Down Periscope,5.6,Comedy
134,From the Journals of Jean Seberg,6.5,Documentary
135,Man of the Year,3.8,Comedy
136,The Neon Bible,7.2,Drama
137,Target,0.0,Sin Dato
138,Up Close & Personal,5.9,Drama
139,The Birdcage,6.7,Comedy
140,Virgin Mary,7.0,Drama
141,The Brothers McMullen,6.3,Comedy
142,Bad Boys,6.5,Action
143,The Amazing Panda Adventure,5.0,Action
144,The Basketball Diaries,7.2,Drama
145,An Awfully Big Adventure,6.0,Romance
146,Amateur,6.5,Crime
147,Apollo 13,7.3,Drama
148,Rob Roy,6.5,Adventure
149,The Addiction,6.4,Drama
150,Batman Forever,5.2,Action
151,Belle de Jour,7.3,Drama
152,Beyond Rangoon,6.4,Drama
153,Blue in the Face,6.8,Comedy
154,Canadian Bacon,5.9,Action
155,Casper,6.0,Fantasy
156,Clockers,6.8,Mystery
157,Congo,5.0,Action
158,Crimson Tide,7.0,Action
159,Crumb,7.6,Documentary
160,Desperado,6.8,Thriller
161,Devil in a Blue Dress,6.3,Drama
162,Die Hard: With a Vengeance,6.9,Action
163,The Doom Generation,5.6,Action
164,Feast of July,0.0,Drama
165,First Knight,5.9,Action
166,Free Willy 2 - The Adventure Home,5.5,Adventure
167,Hackers,6.2,Action
168,Jeffrey,6.5,Comedy
169,Johnny Mnemonic,5.5,Adventure
170,Judge Dredd,5.4,Science Fiction
171,Jury Duty,4.0,Comedy
172,Kids,6.8,Drama
173,Living in Oblivion,7.2,Drama
174,Lord of Illusions,5.9,Mystery
175,Love & Human Remains,7.0,Comedy
176,Mad Love,5.5,Drama
177,Mallrats,6.8,Romance
178,Mighty Morphin Power Rangers: The Movie,5.2,Action
179,Moonlight and Valentino,5.6,Comedy
180,Mute Witness,6.4,Thriller
181,Nadja,5.9,Horror
182,The Net,5.6,Crime
183,Nine Months,5.5,Comedy
184,Party Girl,5.8,Comedy
185,The Prophecy,6.4,Fantasy
186,Reckless,10.0,Fantasy
187,Safe,7.2,Drama
188,The Scarlet Letter,5.5,Drama
189,The Show,5.3,Documentary
190,Showgirls,4.9,Drama
191,Smoke,7.2,Comedy
192,Something to Talk About,5.7,Comedy
193,Species,5.5,Science Fiction
194,The Stars Fell on Henrietta,6.6,Drama
195,Strange Days,6.8,Crime
196,The Umbrellas of Cherbourg,7.6,Drama
197,The Tie That Binds,4.6,Thriller
198,Three Wishes,6.1,Drama
199,Total Eclipse,6.5,Drama
200,"To Wong Foo, Thanks for Everything! Julie Newmar",6.3,Comedy
201,Under Siege 2: Dark Territory,5.6,Action
202,Unstrung Heroes,6.4,Comedy
203,Unzipped,6.0,Documentary
204,A Walk in the Clouds,6.5,Drama
